"League","Name","Team","Position","GamesPlayed","TotalMinutesPlayed","FieldGoalsMade","FieldGoalsAttempted","ThreesMade","ThreesAttempted","FreeThrowsMade","FreeThrowsAttempted","OffensiveRebounds","TotalRebounds","Assists","Steals","Turnovers","Blocks","PersonalFouls","Disqualifications","TotalPoints","Technicals","Ejections","FlagrantFouls","GamesStarted"
"NBA","Cedric Jackson","SAN","PG",12,74,6,20,1,6,7,12,2,8,14,3,11,2,7,0,20,0,0,0,0
"NBA","Darnell Jackson","MIL","PF",28,125,9,30,1,4,4,6,9,22,4,2,13,4,21,0,23,0,0,0,0
"NBA","Stephen Jackson","CHA","SF",81,3129,600,1418,129,393,338,434,78,400,300,132,259,43,197,1,1667,13,0,0,81
"NBA","Lebron James","CLE","SF",76,2967,768,1528,129,387,593,773,71,554,651,124,261,76,119,0,2258,5,0,0,76
"NBA","Mike James","WAS","PG",4,46,6,20,2,6,4,8,1,3,5,3,5,0,3,0,18,0,0,0,0
"NBA","Antawn Jamison","CLE","PF",66,2407,478,1036,85,247,194,300,136,555,84,71,91,21,179,1,1235,3,0,0,64
"NBA","Nathan Jawai","MIN","PF",39,412,49,111,0,1,26,38,49,104,24,10,27,9,58,0,124,0,0,0,2
"NBA","Othyus Jeffers","UTA","SF",14,72,12,29,0,0,13,19,8,19,1,4,6,0,10,0,37,0,0,0,0
"NBA","Al Jefferson","MIN","C",76,2468,560,1125,0,4,181,266,180,703,137,63,136,99,205,1,1301,0,0,0,76
"NBA","Richar Jefferson","SAN","SF",81,2523,362,775,59,187,211,287,58,356,158,45,105,40,178,0,994,2,0,0,70
"NBA","Jared Jeffries","HOU","PF",70,1795,138,314,21,71,75,120,130,288,101,62,76,71,203,2,372,1,0,0,37
"NBA","Brandon Jennings","MIL","PG",82,2670,450,1215,145,388,223,273,49,282,470,105,199,18,191,0,1268,2,0,0,82
"NBA","Jonas Jerebko","DET","PF",80,2230,290,603,36,115,125,176,194,478,58,79,83,29,230,4,741,1,0,0,73
"NBA","Yi Jianlian","NJN","PF",52,1656,227,563,15,41,154,193,115,371,47,37,77,52,170,0,623,1,0,0,51
"NBA","Amir Johnson","TOR","PF",82,1464,208,334,0,4,95,149,154,394,48,44,63,66,255,1,511,1,0,0,5
"NBA","Anthony Johnson","ORL","PG",31,405,49,111,13,39,19,20,8,48,63,11,26,1,32,0,130,1,0,0,0
"NBA","James Johnson","CHI","PF",65,755,95,210,15,46,51,70,34,128,48,21,61,43,126,3,256,1,0,0,11
"NBA","Joe Johnson","ATL","SG",76,2881,635,1386,129,350,220,269,74,353,369,82,145,5,145,0,1619,1,0,0,76
"NBA","Dahntay Jones","IND","SG",76,1891,287,623,4,32,198,257,48,229,150,40,128,39,237,1,776,1,0,0,26
"NBA","Dwayne Jones","PHO","C",2,7,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
"NBA","James Jones","MIA","SF",36,507,43,119,37,90,23,28,4,45,17,11,11,4,45,1,146,0,0,0,6
"NBA","Solomon Jones","IND","PF",52,673,78,176,0,3,51,71,51,144,32,14,40,37,125,3,207,2,0,0,2
"NBA","Deandre Jordan","LAC","C",70,1139,144,238,0,2,48,128,122,351,21,16,75,62,152,1,336,1,0,0,12
"NBA","Chris Kaman","LAC","C",76,2608,589,1202,0,6,230,307,184,704,120,37,223,94,213,1,1408,12,0,0,76
"NBA","Jason Kapono","PHI","SF",57,976,126,301,63,171,9,15,14,66,39,21,34,6,80,0,324,0,0,0,12
"NBA","Coby Karl","GSW","SF",7,114,11,32,2,11,4,6,4,18,15,3,10,1,14,1,28,0,0,0,1
"NBA","Jason Kidd","DAL","PG",80,2883,284,671,176,414,80,99,48,445,724,145,195,35,142,0,824,2,0,0,80
"NBA","Andrei Kirilenko","UTA","SF",58,1683,244,482,26,89,174,234,76,264,157,83,79,71,102,0,688,0,0,0,35
"NBA","Kyle Korver","UTA","SG",52,950,138,280,59,110,39,49,10,111,89,26,42,12,76,0,374,1,0,0,0
"NBA","Kosta Koufos","UTA","C",36,174,22,47,0,0,9,15,16,45,6,2,15,4,26,0,53,0,0,0,0
"NBA","Nenad Krstic","OKL","C",76,1741,281,560,1,5,76,106,134,383,52,32,58,45,177,2,639,0,0,0,76
"NBA","Oliver Lafayette","BOS","PG",1,22,3,6,1,2,0,0,1,4,2,0,1,0,0,0,7,0,0,0,0
"NBA","Carl Landry","SAC","PF",80,2465,499,931,1,3,344,427,188,468,66,54,136,63,234,2,1343,3,0,0,30
"NBA","Marcus Landry","BOS","SF",18,110,16,43,9,28,3,5,5,19,0,1,6,2,14,0,44,0,0,0,0
"NBA","Acie Law","CHI","PG",26,233,35,75,5,16,38,49,3,17,26,11,17,1,16,0,113,0,0,0,1
"NBA","Ty Lawson","DEN","PG",65,1318,201,390,34,83,106,140,42,124,203,48,82,2,89,0,542,0,0,0,8
"NBA","Courtney Lee","NJN","SG",71,2373,338,775,76,225,133,153,60,253,121,93,76,21,130,0,885,1,0,0,66
"NBA","David Lee","NYK","C",81,3018,686,1258,0,8,268,330,228,948,295,86,189,39,257,0,1640,2,0,0,81
"NBA","Rashard Lewis","ORL","PF",72,2365,350,805,168,423,145,180,62,318,107,78,108,28,180,1,1013,3,0,0,72
"NBA","Shaun Livingston","WAS","PG",36,795,104,201,0,6,42,48,16,78,128,17,58,11,61,0,250,0,0,0,18
"NBA","Brook Lopez","NJN","C",82,3026,563,1128,0,2,416,509,270,708,187,55,204,139,251,2,1542,1,0,0,82
"NBA","Robin Lopez","PHO","C",51,984,171,292,0,0,88,125,104,249,7,10,41,53,117,1,430,1,0,0,31
"NBA","Kevin Love","MIN","PF",60,1719,291,646,35,106,225,276,227,659,136,43,117,24,136,0,842,0,0,0,22
"NBA","Kyle Lowry","HOU","PG",68,1652,184,464,37,136,215,260,91,247,305,60,116,9,173,0,620,2,0,0,0
"NBA","Corey Maggette","GSW","SF",70,2079,457,886,13,50,460,551,91,372,172,53,167,4,231,3,1387,7,0,0,49
"NBA","Jamaal Magloire","MIA","C",36,358,28,56,0,0,21,59,41,121,1,9,17,11,59,0,77,1,0,0,0
"NBA","Ian Mahinmi","SAN","C",26,166,35,55,0,0,31,47,13,52,2,3,15,8,32,1,101,0,0,0,0
"NBA","Shawn Marion","DAL","SF",75,2385,395,778,3,19,105,139,158,477,107,69,99,61,141,1,898,0,0,0,75
"NBA","Sean Marks","NOR","PF",14,73,4,8,0,0,2,5,14,23,2,0,2,3,17,0,10,0,0,0,0
"NBA","Cartier Martin","WAS","SG",18,391,50,136,17,49,24,30,25,68,16,11,19,1,48,0,141,0,0,0,2
"NBA","Kenyon Martin","DEN","PF",58,1983,283,620,8,29,93,167,142,546,109,72,91,61,186,2,667,7,0,0,58
"NBA","Kevin Martin","HOU","SG",46,1631,289,693,70,210,298,340,29,164,111,46,92,6,96,0,946,0,0,0,43
"NBA","Desmond Mason","SAC","SG",5,66,5,12,0,0,3,4,4,13,2,1,4,1,5,0,13,0,0,0,4
"NBA","Roger Mason","SAN","SG",79,1514,193,496,88,264,27,34,11,162,137,30,59,14,99,0,501,1,0,0,5
"NBA","Wes Matthews","UTA","SG",82,2022,273,565,63,165,160,193,50,191,124,63,93,15,152,0,769,0,0,0,49
"NBA","Jason Maxiell","DET","PF",76,1548,212,415,0,1,89,155,161,401,39,36,68,38,175,0,513,2,0,0,29
"NBA","Sean May","SAC","PF",37,330,51,111,0,4,21,32,20,70,17,12,19,7,46,0,123,0,0,0,4
"NBA","Eric Maynor","OKL","PG",81,1268,154,368,22,71,52,72,21,129,266,39,85,10,115,0,382,0,0,0,2
"NBA","O.j. Mayo","MEM","SG",82,3115,542,1183,136,355,212,262,61,311,243,98,176,17,175,2,1432,7,0,0,82
"NBA","Luc Mbah_a_moute","MIL","SF",73,1866,177,369,6,17,93,133,171,400,81,60,70,39,181,1,453,1,0,0,62
"NBA","D.j. Mbenga","LAL","C",49,357,48,103,0,0,9,19,32,87,8,5,15,29,54,0,105,0,0,0,2
"NBA","Antonio Mcdyess","SAN","C",77,1615,205,428,0,2,36,57,149,455,83,43,79,32,147,0,446,1,0,0,49
"NBA","Javale Mcgee","WAS","C",59,966,156,307,0,1,74,116,88,243,14,16,51,102,122,2,386,1,0,0,19
"NBA","Tracy Mcgrady","NYK","SG",30,673,91,235,16,64,47,63,22,94,99,15,44,14,40,0,245,1,0,0,24
"NBA","Dominic Mcguire","SAC","SF",51,313,19,52,0,0,0,7,23,79,11,5,17,4,35,0,38,0,0,0,2
"NBA","Josh Mcroberts","IND","PF",42,526,76,146,8,23,19,38,40,127,44,17,19,16,74,2,179,1,0,0,3
"NBA","Jodie Meeks","PHI","SG",60,721,104,268,42,132,31,39,9,99,39,18,25,5,52,0,281,0,0,0,0
"NBA","Pop Mensah-bonsu","TOR","C",20,118,13,33,0,0,13,24,16,35,3,4,10,9,20,0,39,0,0,0,0
"NBA","C.j. Miles","UTA","SF",63,1497,241,562,74,217,66,95,42,168,105,59,81,17,190,2,622,0,0,0,26
"NBA","Darko Milicic","MIN","C",32,686,100,204,0,1,15,28,47,151,47,22,35,34,82,1,215,1,0,0,18
"NBA","Andre Miller","POR","PG",82,2497,404,908,16,80,322,392,81,266,445,93,173,9,169,1,1146,4,0,0,66
"NBA","Brad Miller","CHI","C",82,1954,250,581,37,132,182,220,83,398,154,44,107,29,189,1,719,6,0,0,37
"NBA","Mike Miller","WAS","SG",54,1803,217,433,82,171,70,85,55,336,213,40,116,12,131,1,586,3,0,0,50
"NBA","Patrick Mills","POR","PG",10,39,10,24,2,4,4,7,1,2,5,0,4,0,6,0,26,0,0,0,0
"NBA","Paul Millsap","UTA","PF",82,2275,385,716,1,9,183,264,186,559,131,64,116,99,285,7,954,2,0,0,10
"NBA","Nazr Mohammed","CHA","C",58,987,189,342,0,0,81,125,114,304,28,15,53,43,105,0,459,0,0,0,29
"NBA","Jamario Moon","CLE","SF",61,1051,114,247,32,100,36,45,26,190,49,34,23,30,69,0,296,0,0,0,2
"NBA","Mikki Moore","GSW","PF",23,404,54,90,0,0,7,11,26,70,36,4,21,13,60,0,115,0,0,0,20
"NBA","Randolph Morris","ATL","C",28,127,23,41,0,0,16,27,10,38,2,5,12,3,34,2,62,0,0,0,0
"NBA","Adam Morrison","LAL","SF",31,242,32,85,5,21,5,8,10,32,18,3,10,2,17,0,74,0,0,0,0
"NBA","Anthony Morrow","GSW","SG",69,2019,329,703,140,307,101,114,61,259,104,65,84,16,158,0,899,2,0,0,37
"NBA","B.j. Mullens","OKL","C",13,56,7,19,0,0,0,0,3,10,1,2,4,0,13,0,14,0,0,0,0
"NBA","Troy Murphy","IND","PF",72,2345,384,813,128,333,154,193,129,736,150,72,100,34,175,1,1050,2,0,0,69
"NBA","Ronald Murray","CHI","SG",75,1673,268,683,69,221,140,192,28,183,136,46,91,16,126,0,745,1,0,0,2
"NBA","Eduardo Najera","DAL","PF",46,687,62,146,19,64,14,24,34,115,29,26,25,14,94,0,157,3,0,0,5
"NBA","Steve Nash","PHO","PG",81,2662,499,985,124,291,211,225,34,268,892,42,295,12,108,0,1333,4,0,0,81
"NBA","Jameer Nelson","ORL","PG",65,1857,317,706,86,226,98,116,26,194,353,48,139,2,147,0,818,1,0,0,64
"NBA","Rasho Nesterovic","TOR","C",42,411,81,149,0,0,1,5,37,89,25,10,16,17,54,0,163,1,0,0,8
"NBA","Joakim Noah","CHI","C",64,1922,262,520,0,0,163,219,220,705,132,32,117,101,198,1,687,8,0,0,54
"NBA","Andres Nocioni","SAC","SF",75,1475,234,587,96,249,71,99,32,222,75,32,67,26,160,1,635,5,0,0,28
"NBA","Steve Novak","LAC","SF",54,375,42,108,22,71,7,9,1,33,6,7,2,2,21,0,113,1,0,0,0
"NBA","Dirk Nowitzki","DAL","PF",81,3041,720,1496,51,121,536,586,80,620,218,70,149,79,208,1,2027,9,0,0,80
"NBA","Patrick O'bryant","TOR","C",11,49,8,15,0,1,3,6,2,11,1,2,5,4,12,0,19,0,0,0,0
"NBA","Jermaine O'neal","MIA","C",70,1990,394,745,0,2,162,225,124,486,92,25,125,95,212,2,950,9,0,0,70
"NBA","Shaquille O'neal","CLE","C",53,1238,262,463,0,1,112,226,93,353,80,16,105,62,169,0,636,4,0,0,53
"NBA","Fabricio Oberto","WAS","C",57,652,35,56,0,0,13,17,34,105,51,10,36,9,121,1,83,0,0,0,20
"NBA","Greg Oden","POR","C",21,501,92,152,0,0,49,64,64,178,19,8,39,48,84,1,233,0,0,0,21
"NBA","Lamar Odom","LAL","PF",82,2585,342,739,58,182,140,202,184,802,268,75,151,59,227,1,882,8,0,0,38
"NBA","Emeka Okafor","NOR","C",82,2367,348,655,0,0,154,274,249,740,55,54,111,126,218,1,850,0,0,0,82
"NBA","Mehmet Okur","UTA","C",73,2151,355,775,82,213,196,239,132,515,119,38,127,81,223,1,988,5,0,0,73
"NBA","Kevin Ollie","OKL","PG",25,265,18,45,0,1,8,8,3,25,20,9,6,0,16,0,44,0,0,0,0
"NBA","Travis Outlaw","LAC","SF",34,733,110,281,40,105,49,59,33,121,34,18,32,17,43,0,309,1,0,0,6
"NBA","Zaza Pachulia","ATL","C",78,1091,120,246,0,4,93,143,117,293,42,37,58,30,186,2,333,1,0,0,1
"NBA","Jannero Pargo","CHI","PG",63,827,132,381,38,138,42,45,9,79,89,29,50,2,68,0,344,1,0,0,5
"NBA","Anthony Parker","CLE","SG",81,2285,206,475,108,261,75,95,30,231,157,63,71,18,151,0,595,1,0,0,81
"NBA","Tony Parker","SAN","PG",56,1729,349,716,10,34,186,246,7,135,317,29,149,8,96,0,894,1,0,0,50
"NBA","Chris Paul","NOR","PG",45,1713,314,637,52,127,161,190,20,191,480,96,112,8,118,2,841,4,0,0,45
"NBA","Sasha Pavlovic","MIN","SG",71,875,109,300,35,118,10,26,12,117,58,23,53,6,84,1,263,0,0,0,0
"NBA","Oleksiy Pecherov","MIN","PF",44,446,77,188,14,52,29,32,32,124,11,9,32,14,55,0,197,0,0,0,5
"NBA","Jeff Pendergraph","POR","PF",39,406,43,65,0,0,18,20,25,98,1,7,12,16,76,0,104,2,0,0,4
"NBA","Kendrick Perkins","BOS","C",78,2153,314,521,0,3,163,280,155,595,80,26,166,132,219,1,791,16,0,0,78
"NBA","Morris Peterson","NOR","SG",46,976,116,301,62,171,33,54,17,126,42,25,27,5,81,0,327,0,0,0,39
"NBA","Johan Petro","DEN","C",36,433,54,101,0,1,14,21,32,129,14,10,23,13,80,0,122,0,0,0,16
"NBA","Paul Pierce","BOS","SF",71,2409,409,867,109,263,369,433,39,310,218,84,166,31,196,1,1296,5,0,0,71
"NBA","Mickael Pietrus","ORL","SF",75,1685,233,539,116,306,69,109,39,215,49,53,69,31,138,0,651,1,0,0,24
"NBA","James Posey","NOR","SF",77,1732,126,345,81,242,66,80,32,329,117,42,51,19,204,1,399,2,0,0,2
"NBA","Leon Powe","CLE","PF",20,236,21,49,0,0,37,63,19,61,0,6,11,2,36,0,79,0,0,0,2
"NBA","Josh Powell","LAL","PF",63,584,71,194,7,16,20,31,44,116,35,9,33,6,71,0,169,0,0,0,0
"NBA","A.j. Price","IND","PG",56,863,145,354,60,174,60,75,12,88,106,35,59,3,53,0,410,1,0,0,2
"NBA","Ronnie Price","UTA","PG",60,810,98,242,18,63,41,59,28,74,123,40,56,13,109,0,255,2,0,0,4
"NBA","Tayshaun Prince","DET","SF",49,1665,282,580,27,73,70,98,71,248,161,34,60,22,77,0,661,0,0,0,49
"NBA","Joel Przybilla","POR","C",30,682,45,86,0,0,33,51,72,238,8,8,39,43,95,2,123,1,0,0,9
"NBA","Chris Quinn","NJN","PG",25,225,20,56,10,32,6,6,1,16,29,9,10,1,15,0,56,0,0,0,0
"NBA","Vladi Radmanovic","GSW","SF",41,890,103,273,30,108,20,27,51,178,45,29,44,7,97,0,256,1,0,0,20
"NBA","Anthony Randolph","GSW","SF",33,748,137,309,1,5,109,136,73,215,42,28,49,51,92,0,384,2,0,0,8
"NBA","Shavlik Randolph","POR","PF",6,53,6,18,0,0,2,2,7,14,1,1,3,1,9,0,14,0,0,0,0
"NBA","Zach Randolph","MEM","PF",81,3052,652,1336,15,52,362,465,330,951,148,80,174,34,226,3,1681,5,0,0,81
"NBA","Theo Ratliff","CHA","C",49,807,70,152,0,0,38,50,59,157,25,12,41,61,87,1,178,1,0,0,28
"NBA","Michael Redd","MIL","SG",18,494,75,213,18,60,47,66,11,54,39,19,15,2,24,0,215,0,0,0,12
"NBA","J.j. Redick","ORL","SG",82,1810,243,553,111,274,191,222,17,155,158,28,63,4,118,0,788,4,0,0,9
"NBA","Chris Richard","CHI","PF",18,222,15,29,0,0,7,11,19,59,7,8,14,4,50,2,37,1,0,0,0
"NBA","Jason Richardson","PHO","SG",79,2488,473,998,157,400,136,184,81,404,143,66,92,33,169,0,1239,2,0,0,76
"NBA","Quent Richardson","MIA","SG",76,2080,242,561,142,358,52,71,64,374,93,71,62,18,169,0,678,5,0,0,75
"NBA","Luke Ridnour","MIL","PG",82,1759,328,686,69,181,127,140,24,143,324,54,107,7,182,0,852,0,0,0,0
"NBA","Nate Robinson","BOS","PG",56,1119,215,493,87,223,50,67,28,110,163,49,73,5,116,1,567,2,0,0,2
"NBA","Sergio Rodriguez","NYK","PG",66,1051,167,351,32,91,68,93,24,89,211,50,114,5,84,0,434,0,0,0,8
"NBA","Rajon Rondo","BOS","PG",81,2964,459,904,17,80,175,282,100,360,794,188,246,11,198,0,1110,4,0,0,81
"NBA","Derrick Rose","CHI","PG",78,2872,672,1373,16,60,259,338,65,293,469,57,217,27,96,1,1619,0,0,0,78
"NBA","Quinton Ross","WAS","SG",52,563,40,111,4,21,8,14,17,49,12,13,11,6,69,1,92,0,0,0,7
"NBA","Brandon Roy","POR","SG",65,2416,491,1038,73,221,343,440,73,285,306,61,129,16,136,0,1398,2,0,0,65
"NBA","Brandon Rush","IND","SG",82,2489,297,702,124,302,56,89,41,346,112,56,93,66,159,0,774,0,0,0,64
"NBA","Kareem Rush","LAC","SG",7,57,4,11,1,3,0,0,1,6,4,2,3,3,8,0,9,0,0,0,0
"NBA","John Salmons","MIL","SG",81,2823,437,992,118,309,253,305,35,270,223,99,123,26,166,1,1245,2,0,0,56
"NBA","Brian Scalabrine","BOS","PF",52,473,29,85,16,49,4,6,9,49,27,9,17,4,59,1,78,0,0,0,3
"NBA","Luis Scola","HOU","PF",82,2672,560,1090,1,5,208,267,175,705,169,63,163,26,246,2,1329,1,0,0,81
"NBA","Thabo Sefolosha","OKL","SG",82,2346,194,442,41,131,60,89,76,387,145,97,90,46,154,1,489,0,0,0,82
"NBA","Ramon Sessions","MIN","PG",82,1732,253,555,1,15,167,233,58,213,258,55,137,5,137,0,674,0,0,0,1
"NBA","Bobby Simmons","NJN","SF",23,394,42,117,20,63,18,20,11,63,15,14,19,3,52,0,122,1,0,0,2
"NBA","James Singleton","WAS","SG",57,981,97,254,7,37,53,62,108,276,31,28,49,42,113,1,254,2,0,0,3
"NBA","Brian Skinner","LAC","PF",16,124,10,25,0,0,6,8,9,27,0,3,7,4,20,0,26,0,0,0,1
"NBA","Craig Smith","LAC","PF",75,1230,226,397,1,5,132,208,97,287,84,33,88,25,194,0,585,0,0,0,2
"NBA","J.r. Smith","DEN","SG",75,2079,428,1033,158,467,142,201,28,234,183,99,139,21,174,1,1156,5,0,0,0
"NBA","Jason Smith","PHI","PF",56,660,75,174,10,29,29,42,54,135,33,21,35,28,110,1,189,0,0,0,2
"NBA","Joe Smith","ATL","PF",64,592,77,193,1,7,39,48,66,157,21,6,22,19,95,0,194,4,0,0,1
"NBA","Josh Smith","ATL","PF",81,2873,504,999,0,7,261,422,223,705,343,130,198,173,240,1,1269,10,0,0,81
"NBA","Darius Songaila","NOR","PF",75,1407,241,488,1,6,60,74,59,232,71,62,81,14,206,1,543,1,0,0,1
"NBA","Marrees Speights","PHI","PF",62,1017,212,444,0,5,108,145,85,252,36,29,51,34,152,2,532,3,0,0,1
"NBA","Jerry Stackhouse","MIL","SF",42,854,129,316,45,130,55,69,19,100,70,21,66,9,56,0,358,2,0,0,0
"NBA","Deshaw Stevenson","DAL","SG",64,886,46,163,19,87,25,35,11,91,56,16,30,6,74,0,136,2,0,0,18
"NBA","Peja Stojakovic","NOR","SF",62,1945,278,688,132,352,96,107,39,227,92,48,56,5,83,0,784,1,0,0,55
"NBA","Amare Stoudemire","PHO","PF",82,2835,704,1264,1,6,487,632,230,732,82,52,213,83,281,2,1896,13,0,0,82
"NBA","Rodney Stuckey","DET","PG",73,2499,449,1109,18,79,299,359,67,281,348,101,163,12,205,2,1215,2,0,0,67
"NBA","Dajuan Summers","DET","SF",44,410,46,130,15,42,27,38,14,45,16,9,16,7,52,0,134,0,0,0,0
"NBA","Jermaine Taylor","HOU","PG",31,302,45,119,5,22,33,46,21,46,16,10,19,3,15,0,128,0,0,0,4
"NBA","Jeff Teague","ATL","PG",71,718,90,227,7,32,41,49,5,67,122,34,50,11,82,0,228,0,0,0,3
"NBA","Sebastia Telfair","CLE","PG",43,660,83,201,13,56,29,37,5,45,126,24,50,5,71,0,208,1,0,0,1
"NBA","Garrett Temple","SAN","SG",27,333,44,101,13,37,35,50,6,31,21,13,27,6,42,1,136,0,0,0,4
"NBA","Jason Terry","DAL","SG",77,2537,456,1041,136,373,232,268,19,140,292,94,109,17,142,0,1280,5,0,0,12
"NBA","Hasheem Thabeet","MEM","C",68,882,77,131,0,0,54,93,85,243,11,15,43,89,162,1,208,1,0,0,13
"NBA","Etan Thomas","OKL","C",23,319,31,68,0,0,13,22,18,64,1,4,18,16,39,0,75,0,0,0,1
"NBA","Kenny Thomas","SAC","PF",26,314,17,35,0,0,7,12,35,86,15,10,17,10,42,0,41,0,0,0,2
"NBA","Kurt Thomas","MIL","C",70,1052,100,209,0,0,12,15,84,291,47,26,48,46,159,1,212,1,0,0,9
"NBA","Tim Thomas","DAL","PF",18,283,49,106,16,43,21,24,13,41,14,10,14,2,31,1,135,1,0,0,1
"NBA","Tyrus Thomas","CHA","PF",54,1221,194,420,0,3,120,175,81,335,56,63,93,85,129,2,508,4,0,0,3
"NBA","Jason Thompson","SAC","PF",75,2355,370,784,1,10,198,277,224,637,124,41,139,74,279,7,939,2,0,0,58
"NBA","Al Thornton","WAS","SF",75,2078,320,676,11,31,153,210,116,294,90,45,103,35,206,7,804,1,0,0,46
"NBA","Marcus Thornton","NOR","SG",73,1873,398,883,117,313,144,177,72,211,113,58,76,11,127,0,1057,1,0,0,17
"NBA","Jamaal Tinsley","MEM","PG",38,589,52,140,7,39,22,27,11,66,108,32,63,5,67,0,133,0,0,0,1
"NBA","Anthony Tolliver","GSW","PF",46,1430,193,449,50,152,103,134,84,320,87,32,46,33,128,1,539,0,0,0,29
"NBA","Alando Tucker","MIN","SF",15,95,17,39,1,7,16,21,6,10,4,0,5,0,6,0,51,0,0,0,0
"NBA","Ronny Turiaf","GSW","C",42,871,85,146,0,1,37,78,54,191,90,23,49,54,98,1,207,2,0,0,20
"NBA","Hedo Turkoglu","TOR","SF",74,2270,276,674,108,289,175,226,42,343,304,55,125,32,220,3,835,3,0,0,69
"NBA","Ime Udoka","SAC","SF",69,946,91,241,26,91,42,57,51,191,58,34,42,6,83,0,250,0,0,0,2
"NBA","Beno Udrih","SAC","PG",79,2474,415,841,75,199,118,141,38,218,372,92,136,10,166,0,1023,0,0,0,41
"NBA","Roko Ukic","MIL","PG",13,96,14,30,3,12,9,11,0,3,12,1,6,0,6,0,40,0,0,0,0
"NBA","Anderson Varejao","CLE","PF",76,2163,267,467,1,5,116,175,189,579,87,71,67,67,223,2,651,6,0,0,7
"NBA","Charl Villanueva","DET","PF",78,1847,363,827,99,282,106,130,85,365,53,48,74,55,223,2,931,1,0,0,16
"NBA","Sasha Vujacic","LAL","SG",67,577,66,164,25,81,28,33,25,79,41,20,17,4,67,0,185,1,0,0,1
"NBA","Dwyane Wade","MIA","SG",77,2793,719,1511,73,243,534,702,106,372,501,141,252,82,181,0,2045,9,0,0,77
"NBA","Bill Walker","NYK","PF",35,767,120,232,50,116,39,49,15,88,40,23,28,3,83,1,329,2,0,0,13
"NBA","Ben Wallace","DET","C",69,1972,158,292,0,2,65,160,245,597,105,86,64,84,131,0,381,4,0,0,67
"NBA","Gerald Wallace","CHA","SF",76,3118,456,943,52,140,422,544,150,762,161,117,178,84,194,1,1386,6,0,0,76
"NBA","Rasheed Wallace","BOS","C",79,1784,266,650,82,290,96,125,42,326,80,80,63,70,222,2,710,17,0,0,13
"NBA","Luke Walton","LAL","SF",29,271,30,84,7,17,2,4,12,38,40,10,12,1,19,0,69,0,0,0,0
"NBA","Hakim Warrick","CHI","PF",76,1555,265,550,1,7,202,274,127,314,52,24,80,18,126,0,733,3,0,0,6
"NBA","C.j. Watson","GSW","PG",65,1786,247,528,45,145,128,166,28,169,180,103,69,8,124,2,667,1,0,0,15
"NBA","Earl Watson","IND","PG",79,2318,223,524,53,184,120,169,54,241,399,104,175,16,181,0,619,1,0,0,52
"NBA","Kyle Weaver","OKL","SG",12,145,12,33,7,19,5,6,1,18,11,6,4,6,13,0,36,0,0,0,0
"NBA","Martell Webster","POR","SG",82,2005,259,639,124,332,126,155,47,268,62,45,60,40,153,1,768,0,0,0,49
"NBA","Sonny Weems","TOR","SG",69,1367,236,458,2,15,44,64,42,192,101,39,65,25,126,1,518,1,0,0,19
"NBA","David West","NOR","PF",81,2948,619,1226,7,27,296,342,164,605,239,76,173,60,233,0,1541,3,0,0,81
"NBA","Delonte West","CLE","SG",60,1501,194,436,25,77,115,142,29,169,196,55,90,28,86,0,528,6,0,0,3
"NBA","Mario West","ATL","SF",39,152,12,21,0,1,6,10,8,27,9,8,7,0,24,0,30,0,0,0,1
"NBA","Russel Westbrook","OKL","PG",82,2815,485,1160,23,104,329,422,143,401,652,109,268,34,204,2,1322,5,0,0,82
"NBA","D.j. White","OKL","PF",12,100,25,41,0,0,9,10,10,23,4,5,3,3,12,0,59,0,0,0,0
"NBA","Chris Wilcox","DET","PF",34,440,63,120,0,0,26,52,44,117,13,12,38,12,64,0,152,1,0,0,10
"NBA","Damien Wilkins","MIN","SG",80,1585,165,381,18,61,103,129,71,248,135,67,76,25,144,0,451,2,0,0,31
"NBA","Mike Wilks","OKL","PG",4,59,6,12,2,3,2,4,1,4,4,0,4,0,5,0,16,0,0,0,0
"NBA","Deron Williams","UTA","PG",76,2804,494,1053,96,259,335,418,50,303,799,96,252,16,208,2,1419,5,0,0,76
"NBA","Jason Williams","ORL","PG",82,1704,189,426,84,221,31,41,7,125,298,53,87,3,65,0,493,4,0,0,18
"NBA","Jawad Williams","CLE","SF",54,747,81,206,30,93,32,45,16,83,34,12,18,5,73,0,224,0,0,0,6
"NBA","Lou Williams","PHI","PG",64,1909,318,677,70,206,192,233,25,187,268,80,107,15,110,1,898,0,0,0,38
"NBA","Marcus Williams","MEM","PG",62,872,104,271,24,81,37,55,13,93,161,32,74,1,43,0,269,0,0,0,1
"NBA","Marvin Williams","ATL","SF",81,2467,302,664,40,132,176,215,106,416,92,65,72,46,160,0,820,1,0,0,81
"NBA","Mo Williams","CLE","PG",69,2358,378,855,159,371,177,198,28,208,368,70,173,21,170,1,1092,5,0,0,68
"NBA","Reggie Williams","GSW","SF",24,779,140,283,33,92,52,62,18,110,66,22,29,6,49,0,365,1,0,0,10
"NBA","Sean Williams","NJN","PF",20,227,21,49,0,1,10,19,21,46,1,8,20,19,41,1,52,0,0,0,0
"NBA","Shelden Williams","BOS","PF",54,597,63,121,0,1,75,98,47,145,21,13,30,21,85,0,201,1,0,0,0
"NBA","Terrenc Williams","NJN","SG",78,1759,261,652,31,100,103,144,46,348,223,43,124,10,126,0,656,0,0,0,9
